task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1832	54/8cde9a	13159083	ame_run_shuffle (905)	CACHED	0	2021-09-14 15:29:35.685	10s	134ms	11.0%	0	0	383.7 KB	253 KB
1878	57/88141d	13159129	ame_run_shuffle (950)	CACHED	0	2021-09-14 15:29:45.789	14.8s	323ms	21.3%	0	0	660.5 KB	384.6 KB
1818	13/3c01a2	13159067	ame_run_shuffle (890)	CACHED	0	2021-09-14 15:29:30.622	25s	13.7s	68.5%	13.6 MB	340.8 MB	887.8 KB	548.2 KB
1834	a3/2ecf74	13159084	ame_run_shuffle (906)	CACHED	0	2021-09-14 15:29:35.699	14.9s	2.3s	70.0%	11.7 MB	340.8 MB	551 KB	405.7 KB
1821	17/2dac58	13159071	ame_run_shuffle (894)	CACHED	0	2021-09-14 15:29:30.662	15s	172ms	11.6%	0	0	376.1 KB	255.6 KB
1822	fd/a99610	13159072	ame_run_shuffle (895)	CACHED	0	2021-09-14 15:29:30.672	15s	162ms	9.0%	0	0	376.1 KB	254.7 KB
1839	51/ab3da9	13159089	ame_run_shuffle (911)	CACHED	0	2021-09-14 15:29:35.810	14.8s	449ms	26.3%	0	0	933.3 KB	501.8 KB
1842	21/c64693	13159091	ame_run_shuffle (914)	CACHED	0	2021-09-14 15:29:35.832	14.8s	465ms	28.0%	0	0	933.3 KB	512.4 KB
1810	d5/8203c9	13159059	ame_run_shuffle (883)	CACHED	0	2021-09-14 15:29:25.803	34.8s	19.6s	68.4%	14.6 MB	340.9 MB	1.3 MB	1 MB
1813	59/e99d20	13158994	ame_run_shuffle (819)	CACHED	0	2021-09-14 15:29:05.784	29.8s	13.3s	70.1%	13.8 MB	340.9 MB	1 MB	443.1 KB
1845	38/c05463	13159060	ame_run_shuffle (884)	CACHED	0	2021-09-14 15:29:25.813	14.8s	182ms	16.5%	0	0	405 KB	263.7 KB
1881	1c/699c78	13159043	ame_run_shuffle (948)	CACHED	0	2021-09-14 15:29:20.908	19.7s	270ms	18.5%	0	0	660.3 KB	397.5 KB
1809	b2/fa76cd	13159062	ame_run_shuffle (886)	CACHED	0	2021-09-14 15:29:25.832	14.8s	207ms	14.8%	0	0	404.7 KB	264.3 KB
1850	15/04b266	13159098	ame_run_shuffle (920)	CACHED	0	2021-09-14 15:29:40.629	10s	405ms	26.0%	0	0	867.8 KB	473.4 KB
1851	75/722b71	13159099	ame_run_shuffle (921)	CACHED	0	2021-09-14 15:29:40.645	10s	405ms	26.2%	0	0	867.6 KB	518 KB
1798	cf/c31268	13159045	ame_run_shuffle (869)	CACHED	0	2021-09-14 15:29:25.618	15s	172ms	12.5%	0	0	378.9 KB	267.7 KB
1849	b1/cce586	13159097	ame_run_shuffle (919)	CACHED	0	2021-09-14 15:29:40.616	60s	50.4s	77.9%	15.7 MB	340.9 MB	1.8 MB	8.9 MB
1853	5d/81b1bd	13159101	ame_run_shuffle (923)	CACHED	0	2021-09-14 15:29:40.672	10s	429ms	25.2%	0	0	867.8 KB	482 KB
1817	30/89e367	13159065	ame_run_shuffle (889)	CACHED	0	2021-09-14 15:29:25.883	49.7s	31.7s	73.0%	17.4 MB	340.8 MB	1.4 MB	912.6 KB
